,City,Country,Date,Max Temp (F),Humidity (%),Wind Speed,Cloudiness (%),Latitude,Longitude
0,punta arenas,CL,1603909327,51.8,37,36.91,40,-53.15,-70.92
1,pangnirtung,CA,1603909391,19.4,57,2.66,90,66.15,-65.71
2,touros,BR,1603909391,84.2,62,19.46,75,-5.2,-35.46
3,east london,ZA,1603909391,69.8,88,5.82,75,-33.02,27.91
4,jamestown,US,1603909391,48.99,87,10.29,90,42.1,-79.24
5,busselton,AU,1603909391,55.99,49,12.28,0,-33.65,115.33
6,hilo,US,1603909255,79.0,69,2.57,1,19.73,-155.09
7,umm lajj,SA,1603909392,83.55,40,9.17,0,25.02,37.27
8,saint george,US,1603909169,62.01,19,5.82,1,37.1,-113.58
9,port elizabeth,ZA,1603909392,62.6,93,4.7,20,-33.92,25.57
10,atuona,PF,1603909392,77.65,71,18.61,26,-9.8,-139.03
11,rikitea,PF,1603909393,74.71,83,13.96,97,-23.12,-134.97
12,santa lucia,ES,1603909393,71.6,60,19.46,75,27.91,-15.54
13,vaini,TO,1603909393,69.8,83,8.05,20,-21.2,-175.2
14,kirakira,SB,1603909393,79.18,82,11.05,59,-10.45,161.92
15,tuatapere,NZ,1603909177,48.0,88,4.0,99,-46.13,167.68
16,hermanus,ZA,1603909393,63.0,63,1.99,88,-34.42,19.23
17,avarua,CK,1603909394,73.4,83,5.82,22,-21.21,-159.78
18,wasilla,US,1603909208,24.8,92,2.04,1,61.58,-149.44
19,new norfolk,AU,1603909394,50.0,87,4.7,90,-42.78,147.06
20,longyearbyen,SJ,1603909394,30.2,86,8.05,75,78.22,15.64
21,port alfred,ZA,1603909394,64.17,89,0.63,63,-33.59,26.89
22,ulladulla,AU,1603909395,57.2,93,1.12,75,-35.35,150.47
23,cidreira,BR,1603909395,71.26,73,13.44,96,-30.18,-50.21
24,saint-philippe,RE,1603909395,73.4,73,12.75,0,-21.36,55.77
25,butaritari,KI,1603909395,80.49,72,4.7,51,3.07,172.79
26,richards bay,ZA,1603909395,78.24,67,16.51,10,-28.78,32.04
27,bluff,NZ,1603909395,48.0,88,3.0,85,-46.6,168.33
28,yellowknife,CA,1603909396,23.0,85,4.7,90,62.46,-114.35
29,thompson,CA,1603909396,15.8,61,9.17,40,55.74,-97.86
30,ponta do sol,PT,1603909396,68.0,68,8.05,40,32.67,-17.1
31,biltine,TD,1603909396,89.76,16,8.77,0,14.53,20.92
32,mataura,NZ,1603909397,48.0,88,3.0,93,-46.19,168.86
33,graaff-reinet,ZA,1603909397,87.24,13,8.57,67,-32.25,24.53
34,rio tercero,AR,1603909397,54.81,61,15.82,99,-32.17,-64.11
35,pevek,RU,1603909397,19.6,97,5.82,98,69.7,170.31
36,cabo san lucas,MX,1603909397,82.0,51,4.7,40,22.89,-109.91
37,ushuaia,AR,1603909397,46.4,61,27.51,40,-54.8,-68.3
38,itoman,JP,1603909397,73.4,73,6.93,20,26.12,127.67
39,caravelas,BR,1603909398,80.51,78,16.6,88,-17.71,-39.25
40,bloemfontein,ZA,1603909398,80.6,26,8.05,40,-29.12,26.21
41,hamilton,US,1603909213,55.4,76,0.92,90,39.18,-84.53
42,provideniya,RU,1603909398,24.22,87,3.53,27,64.38,-173.3
43,katima mulilo,NA,1603909398,86.18,20,5.93,80,-17.5,24.27
44,trairi,BR,1603909205,85.26,60,14.58,19,-3.28,-39.27
45,saskylakh,RU,1603909399,5.59,91,14.23,100,71.92,114.08
46,dikson,RU,1603909399,3.15,93,21.5,21,73.51,80.55
47,albany,US,1603909203,50.0,87,1.1,100,42.6,-73.97
48,geraldton,AU,1603909399,57.2,76,10.29,0,-28.77,114.6
49,winchester,GB,1603909399,50.0,81,10.29,0,51.07,-1.32
50,bredasdorp,ZA,1603909399,66.2,55,10.29,100,-34.53,20.04
51,esso,RU,1603909400,24.39,94,3.18,84,55.93,158.7
52,yeppoon,AU,1603909400,68.0,88,6.08,90,-23.13,150.73
53,dingle,PH,1603909400,75.92,88,3.94,74,11.0,122.67
54,vardo,NO,1603909400,33.8,79,19.46,75,70.37,31.11
55,san patricio,US,1603909400,59.0,62,20.8,20,28.02,-97.52
56,talnakh,RU,1603909400,-2.15,76,4.56,0,69.49,88.4
57,ovalle,CL,1603909401,80.82,21,9.04,0,-30.6,-71.2
58,te anau,NZ,1603909401,46.02,89,1.39,70,-45.42,167.72
59,airai,TL,1603909401,60.31,82,2.35,69,-8.93,125.41
60,san jose,US,1603909282,64.99,25,0.76,75,37.34,-121.89
61,tuktoyaktuk,CA,1603909401,21.2,85,23.04,75,69.45,-133.04
62,henties bay,NA,1603909402,59.0,87,5.99,19,-22.12,14.28
63,kholmy,UA,1603909402,45.52,74,7.61,0,51.87,32.6
64,mount isa,AU,1603909402,55.4,35,9.62,0,-20.73,139.5
65,el tocuyo,VE,1603909402,87.8,45,12.75,31,9.79,-69.79
66,puerto del rosario,ES,1603909402,71.6,73,17.22,75,28.5,-13.86
67,arraial do cabo,BR,1603909402,93.2,74,11.41,20,-22.97,-42.03
68,hithadhoo,MV,1603909402,83.64,72,11.14,20,-0.6,73.08
69,silver city,US,1603909403,44.6,48,13.87,1,32.77,-108.28
70,axim,GH,1603909403,78.35,88,9.73,44,4.87,-2.24
71,manama,BH,1603909403,82.4,58,3.36,0,26.22,50.58
72,abha,SA,1603909403,64.4,15,10.29,0,18.22,42.51
73,tomatlan,MX,1603909404,90.14,56,3.69,6,19.93,-105.25
74,virginia beach,US,1603909382,75.0,76,3.0,86,36.85,-75.98
75,puerto ayora,EC,1603909404,75.2,73,11.41,75,-0.74,-90.35
76,tasiilaq,GL,1603909404,35.6,37,17.22,75,65.61,-37.64
77,berlevag,NO,1603909404,37.4,86,14.99,75,70.86,29.09
78,ramsi,EE,1603909405,46.0,93,9.17,98,58.31,25.54
79,bojnurd,IR,1603909405,44.6,42,2.24,0,37.47,57.33
80,kaitangata,NZ,1603909405,51.01,84,10.0,94,-46.28,169.85
81,qaanaaq,GL,1603909405,10.09,78,11.5,89,77.48,-69.36
82,lagoa,PT,1603909405,64.15,71,9.55,14,39.05,-27.98
83,faanui,PF,1603909406,80.1,80,16.87,81,-16.48,-151.75
84,chuy,UY,1603909406,68.88,85,8.14,96,-33.7,-53.46
85,kavieng,PG,1603909406,82.65,70,3.83,84,-2.57,150.8
86,achutupo,PA,1603909406,85.84,70,7.23,27,9.2,-77.98
87,maumere,ID,1603909407,80.29,77,3.0,93,-8.62,122.21
88,ola,RU,1603909407,29.71,88,5.46,1,59.58,151.28
89,mulchen,CL,1603909407,62.6,48,11.41,75,-37.72,-72.23
90,mitu,CO,1603909407,91.17,56,3.22,95,1.2,-70.17
91,kahului,US,1603909408,78.8,78,5.82,40,20.89,-156.47
92,makat,KZ,1603909408,41.5,62,11.25,33,47.65,53.35
93,general pico,AR,1603909408,71.24,25,17.22,43,-35.66,-63.76
94,nanortalik,GL,1603909409,33.37,91,13.18,100,60.14,-45.24
95,saint-joseph,RE,1603909409,73.4,73,12.75,0,-21.37,55.62
96,santa maria,BR,1603909409,80.6,34,4.7,0,-29.68,-53.81
97,sao gabriel da cachoeira,BR,1603909409,91.4,66,5.82,40,-0.13,-67.09
98,labrea,BR,1603909409,93.72,48,3.56,99,-7.26,-64.8
99,balkanabat,TM,1603909409,54.73,36,19.33,31,39.51,54.37
100,parana,AR,1603909410,71.01,54,18.01,12,-31.73,-60.52
101,marsa matruh,EG,1603909410,75.2,64,9.17,0,31.35,27.25
102,aykhal,RU,1603909410,-9.42,89,2.48,0,66.0,111.5
103,kruisfontein,ZA,1603909410,64.99,87,1.01,86,-34.0,24.73
104,beringovskiy,RU,1603909411,25.77,95,14.18,58,63.05,179.32
105,poum,NC,1603909411,75.78,79,19.33,21,-20.23,164.02
106,georgetown,MY,1603909411,80.6,83,3.36,20,5.41,100.34
107,norman wells,CA,1603909411,15.8,92,4.12,75,65.28,-126.83
108,haines junction,CA,1603909411,28.4,86,1.74,99,60.75,-137.51
109,chokurdakh,RU,1603909411,-1.32,92,7.47,94,70.63,147.92
110,kodiak,US,1603909412,35.6,69,10.29,40,57.79,-152.41
111,dehui,CN,1603909412,26.6,68,6.71,0,44.53,125.7
112,fort nelson,CA,1603909412,24.8,92,0.81,75,58.81,-122.7
113,bengkulu,ID,1603909412,75.9,86,3.53,100,-3.8,102.27
114,laguna,US,1603909413,66.99,36,0.92,1,38.42,-121.42
115,morris,US,1603909413,55.99,84,1.99,95,40.83,-74.53
116,svobodnyy,RU,1603909413,28.85,97,9.1,79,51.4,128.13
117,sur,OM,1603909413,72.12,61,1.86,0,22.57,59.53
118,lavrentiya,RU,1603909413,25.14,88,4.74,19,65.58,-171.0
119,hun,LY,1603909413,67.33,41,11.01,0,29.13,15.95
120,ukiah,US,1603909259,75.99,31,1.74,1,39.15,-123.21
121,tiznit,MA,1603909414,72.41,41,3.4,42,29.58,-9.5
122,nikolskoye,RU,1603909414,46.99,87,4.47,20,59.7,30.79
123,katsuura,JP,1603909414,64.99,82,10.29,75,35.13,140.3
124,eyl,SO,1603909414,79.43,71,7.43,32,7.98,49.82
125,ilulissat,GL,1603909414,17.6,52,6.93,75,69.22,-51.1
126,iquitos,PE,1603909253,89.6,70,5.82,75,-3.75,-73.25
127,kapaa,US,1603909415,73.4,88,5.82,40,22.08,-159.32
128,merauke,ID,1603909415,77.43,74,1.72,100,-8.47,140.33
129,erzin,TR,1603909415,75.99,78,2.53,24,36.96,36.2
130,constitucion,CL,1603909415,60.8,56,19.44,0,-35.33,-72.42
131,hirara,JP,1603909416,77.18,76,16.58,8,24.8,125.28
132,novoraychikhinsk,RU,1603909416,29.07,97,8.97,92,49.78,129.59
133,guerrero negro,MX,1603909416,70.29,22,0.34,0,27.98,-114.06
134,petropavlovsk-kamchatskiy,RU,1603909417,33.8,100,2.24,75,53.05,158.65
135,tucano,BR,1603909417,92.17,42,9.51,98,-10.96,-38.79
136,kismayo,SO,1603909417,80.31,81,12.21,16,-0.36,42.55
137,severo-kurilsk,RU,1603909418,41.68,84,3.53,22,50.68,156.12
138,urengoy,RU,1603909418,-2.78,89,8.46,0,65.97,78.37
139,mariel,CU,1603909418,87.8,66,11.41,75,22.99,-82.75
140,nouadhibou,MR,1603909249,77.0,53,16.11,82,20.93,-17.03
141,mar del plata,AR,1603909130,64.0,55,11.41,90,-38.0,-57.56
142,upernavik,GL,1603909419,11.7,81,7.96,11,72.79,-56.15
143,talara,PE,1603909419,75.2,64,18.34,0,-4.58,-81.27
144,liwale,TZ,1603909420,77.72,59,8.57,86,-9.77,37.93
145,bay roberts,CA,1603909420,37.99,93,4.0,88,47.6,-53.26
146,havelock,US,1603909413,78.8,57,3.36,20,34.88,-76.9
147,kuliyapitiya,LK,1603909420,76.01,92,2.64,100,7.47,80.04
148,nome,US,1603909420,17.6,85,6.33,1,64.5,-165.41
149,tshela,CD,1603909421,75.2,91,3.29,96,-4.98,12.93
150,viedma,AR,1603909421,64.0,34,8.99,28,-40.81,-63.0
151,tutoia,BR,1603909421,87.8,62,17.22,20,-2.76,-42.27
152,ler,SS,1603909421,79.61,62,4.9,7,8.3,30.14
153,lebu,CL,1603909422,54.9,61,14.81,0,-37.62,-73.65
154,hotaka,JP,1603909422,50.0,72,4.0,21,36.34,137.88
155,karratha,AU,1603909422,70.63,88,6.82,0,-20.74,116.85
156,souillac,MU,1603909422,73.0,73,5.99,69,-20.52,57.52
157,kavaratti,IN,1603909422,82.08,74,7.02,0,10.57,72.64
158,barrow,US,1603909423,26.6,53,16.11,90,71.29,-156.79
159,port keats,AU,1603909423,81.77,74,2.55,35,-14.25,129.55
160,the pas,CA,1603909423,19.4,73,10.29,90,53.83,-101.25
161,maldonado,UY,1603909423,60.8,93,13.87,75,-34.67,-54.92
162,seoul,KR,1603909402,41.0,64,4.63,1,37.57,126.98
163,bismarck,US,1603909423,46.4,61,13.87,90,46.81,-100.78
164,arlit,NE,1603909424,87.55,12,15.35,0,18.74,7.39
165,menongue,AO,1603909424,67.12,76,7.83,78,-14.66,17.69
166,namibe,AO,1603909424,70.63,83,9.69,86,-15.2,12.15
167,soyo,AO,1603909424,77.56,85,9.91,77,-6.13,12.37
168,ahipara,NZ,1603909425,59.68,91,4.21,60,-35.17,173.17
169,inirida,CO,1603909425,92.66,50,3.44,97,3.87,-67.92
170,coquimbo,CL,1603909425,64.4,55,17.22,0,-29.95,-71.34
171,mount gambier,AU,1603909425,46.4,100,6.93,75,-37.83,140.77
172,libreville,GA,1603909210,78.8,88,6.93,75,0.39,9.45
173,fasa,IR,1603909426,60.8,18,4.7,0,28.94,53.65
174,cape town,ZA,1603909426,63.0,72,21.92,75,-33.93,18.42
175,slyudyanka,RU,1603909426,35.91,78,4.9,2,51.66,103.71
176,puerto madryn,AR,1603909426,58.59,36,29.86,67,-42.77,-65.04
177,la ronge,CA,1603909426,24.8,79,3.36,90,55.1,-105.28
